CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB,LA,YEAR
98380_351,2,2001-08-01,WROM,D089121144750,,,Bracknell Forest,2017
257597_351,2,2003-09-01,MWBA,R046079212659,,,Bracknell Forest,2017
695023_351,1,2008-07-01,WROM,S037820646551,,,Bracknell Forest,2017
62233_351,2,2014-02-01,AOTH,U065158885961,,,Bracknell Forest,2017
428887_351,1,2003-10-01,MWAS,D089981559382,,,Bracknell Forest,2017
843178_351,1,2010-06-01,AIND,Z083923093714,,,Bracknell Forest,2017
472226_351,1,2004-01-01,WIRI,B058024714571,,,Bracknell Forest,2017
973172_351,2,2008-11-01,BCRB,P047731482323,,,Bracknell Forest,2017
499003_351,2,2014-09-01,WIRI,L000372282206,,,Bracknell Forest,2017
790242_351,2,2013-07-01,WIRT,O073355841043,,,Bracknell Forest,2017
497827_351,1,2007-06-01,CHNE,O061194370967,,,Bracknell Forest,2017
890758_351,1,2010-06-01,ABAN,E040066023903,,,Bracknell Forest,2017
846431_351,1,2004-01-01,REFU,G060726827186,,,Bracknell Forest,2017
398886_351,1,2003-01-01,ABAN,X038456611676,,,Bracknell Forest,2017
758190_351,2,2012-12-01,WIRT,I026670823721,,,Bracknell Forest,2017
839664_351,2,2003-03-01,WBRI,J055465185303,,,Bracknell Forest,2017
696647_351,1,2001-08-01,OOTH,Y080282277082,,,Bracknell Forest,2017
252229_351,1,2012-01-01,ABAN,J088236938841,,,Bracknell Forest,2017
357915_351,2,2009-01-01,BAFR,T068686634509,,,Bracknell Forest,2017
999007_351,2,2001-06-01,CHNE,T026408860651,,,Bracknell Forest,2017
830079_351,1,2002-07-01,ABAN,I072317981637,,,Bracknell Forest,2017
956378_351,2,2008-03-01,BAFR,Z042556042226,,,Bracknell Forest,2017
497432_351,2,2008-10-01,OOTH,K082007380274,,,Bracknell Forest,2017
134188_351,1,2010-10-01,REFU,B079946502240,,,Bracknell Forest,2017
928343_351,1,2010-11-01,BCRB,W025144770690,,,Bracknell Forest,2017
59827_351,1,2001-05-01,BCRB,U029045767382,,,Bracknell Forest,2017
953395_351,1,2010-02-01,APKN,E060299078642,,,Bracknell Forest,2017
3245_351,1,2009-06-01,AIND,W032046791768,,,Bracknell Forest,2017
339403_351,1,2001-10-01,WOTH,W068158137968,,,Bracknell Forest,2017
7388_351,1,2008-11-01,MWAS,W098945004203,,,Bracknell Forest,2017
507869_351,2,2010-11-01,AIND,D028202700867,,,Bracknell Forest,2017
569435_351,1,2003-11-01,CHNE,Z099584865461,,,Bracknell Forest,2017
734500_351,1,2012-01-01,WBRI,D059842552713,,,Bracknell Forest,2017
187960_351,2,2009-04-01,APKN,A043934789017,,,Bracknell Forest,2017
640763_351,2,2006-05-01,NOBT,H096012490696,,,Bracknell Forest,2017
588616_351,1,2014-12-01,OOTH,Q023618634930,,,Bracknell Forest,2017
891268_351,1,2014-02-01,AOTH,Y067377929673,,,Bracknell Forest,2017
913404_351,1,2011-06-01,OOTH,A067566283473,,,Bracknell Forest,2017
22474_351,2,2001-11-01,WROM,W025335457328,,,Bracknell Forest,2017
901770_351,1,2010-01-01,ABAN,Y073307115132,,,Bracknell Forest,2017
428267_351,2,2008-09-01,CHNE,S012723099641,,,Bracknell Forest,2017
265071_351,2,2011-06-01,WROM,D082549810674,,,Bracknell Forest,2017
502942_351,2,2011-07-01,REFU,U091447077182,,,Bracknell Forest,2017
938124_351,1,2002-04-01,APKN,B050583816805,,,Bracknell Forest,2017
579944_351,1,2003-10-01,REFU,E069789658036,,,Bracknell Forest,2017
86559_351,2,2003-04-01,APKN,C054753786106,,,Bracknell Forest,2017
595693_351,2,2010-02-01,OOTH,Z079182496154,,,Bracknell Forest,2017
404888_351,1,2014-09-01,WROM,Z051610276745,,,Bracknell Forest,2017
502098_351,1,2002-09-01,MWBA,I020961461570,,,Bracknell Forest,2017
417544_351,2,2006-07-01,MOTH,I008992678715,,,Bracknell Forest,2017
132234_351,2,2013-11-01,APKN,K027596846873,,,Bracknell Forest,2017
654398_351,2,2006-12-01,WBRI,N000525626682,,,Bracknell Forest,2017
109308_351,1,2011-04-01,BCRB,B037563629037,,,Bracknell Forest,2017
909399_351,1,2007-04-01,WBRI,B093129947080,,,Bracknell Forest,2017
140930_351,2,2007-08-01,WOTH,Z052815398652,,,Bracknell Forest,2017
105611_351,1,2009-04-01,MWBC,X055540869112,,,Bracknell Forest,2017
975937_351,1,2002-07-01,AIND,D052145509855,,,Bracknell Forest,2017
89380_351,1,2006-01-01,WBRI,V095585947383,,,Bracknell Forest,2017
955781_351,1,2009-05-01,AIND,I060062408028,,,Bracknell Forest,2017
19363_351,2,2003-06-01,BOTH,M024868419562,,,Bracknell Forest,2017
